feature0,target0,,feature1,target1,,feature2_5,target2_5,,feature6,target6,,feature13_4,target13_4,,feature30,target30
411.4884621,97.12185687,,409.1640052,97.1450677,,409.7588952,97.42359768,,409.7285322,96.79690522,,409.1235212,96.30947776,,409.7060411,96.33268859
424.8673024,97.26112186,,424.2870316,97.28433269,,424.293779,97.42359768,,424.8425622,96.75048356,,425.4003419,96.26305609,,424.8200711,96.28626692
438.83541,97.56286267,,438.825289,97.35396518,,439.4179299,97.5860735,,439.3841932,96.88974855,,439.9385993,96.33268859,,439.3605776,96.40232108
455.1212271,97.70212766,,452.7956457,97.70212766,,453.9618101,97.77176015,,455.0908641,97.0754352,,455.0773694,96.79690522,,455.0638748,96.51837524
469.6572354,97.72533849,,467.9108002,97.67891683,,469.6606091,97.79497099,,469.6257478,97.0754352,,469.0297333,96.77369439,,470.1880257,96.68085106
483.6163465,97.84139265,,483.0293284,97.72533849,,484.1988664,97.86460348,,484.1640052,97.1450677,,484.7364041,96.95938104,,484.7206603,96.6344294
499.3128964,97.81818182,,499.3117719,97.79497099,,499.3162701,97.88781431,,499.2791597,97.12185687,,498.6898925,96.95938104,,499.8436867,96.77369439
514.4246773,97.72533849,,515.0071972,97.74854932,,514.4258018,97.74854932,,514.9723359,97.02901354,,515.5469839,96.88974855,,514.9565921,96.7040619
528.959561,97.72533849,,529.5420809,97.74854932,,529.5420809,97.74854932,,530.088615,97.02901354,,529.5004723,96.88974855,,530.0694975,96.6344294
542.9175476,97.81818182,,543.5034411,97.91102515,,543.5034411,97.91102515,,544.6257478,97.0754352,,544.6178759,96.91295938,,545.1891503,96.7040619
558.615222,97.81818182,,558.615222,97.81818182,,559.7825109,97.91102515,,559.7397778,97.02901354,,559.1516351,96.88974855,,559.724034,96.7040619
574.3106473,97.77176015,,574.8875444,97.67891683,,574.8942918,97.81818182,,574.8526832,96.95938104,,574.8448113,96.79690522,,575.4160856,96.58800774
588.2573883,97.63249516,,590.0026989,97.655706,,590.0038235,97.67891683,,589.9655886,96.88974855,,589.9565921,96.7040619,,589.3684495,96.56479691
603.9528136,97.5860735,,604.5353335,97.60928433,,604.5353335,97.60928433,,605.0807431,96.86653772,,605.0694975,96.6344294,,605.0537538,96.30947776
617.9029283,97.51644101,,620.2285097,97.51644101,,620.2273852,97.49323017,,620.192524,96.77369439,,620.1835275,96.58800774,,619.5863884,96.26305609
633.5994782,97.49323017,,634.7600198,97.44680851,,634.764518,97.53965184,,634.7251586,96.72727273,,634.7161621,96.54158607,,635.2795646,96.17021277
649.2960281,97.47001934,,649.8762989,97.44680851,,649.878548,97.49323017,,648.6786469,96.72727273,,650.412712,96.51837524,,649.2308038,96.1237911
663.2495164,97.47001934,,664.9880797,97.35396518,,664.4066844,97.35396518,,664.3673249,96.54158607,,664.9374747,96.30947776,,664.9172327,95.89168279
680.6812559,97.26112186,,678.9336962,97.19148936,,680.0964869,97.19148936,,680.0571274,96.37911025,,680.0425082,96.07736944,,680.0312627,95.84526112
694.6279969,97.12185687,,695.2082677,97.09864603,,694.6291215,97.1450677,,694.0117404,96.40232108,,695.1587873,96.07736944,,694.5549008,95.6131528
707.9933426,96.98259188,,709.1561333,96.98259188,,709.7330305,96.88974855,,708.5365031,96.1934236,,709.6779272,95.75241779,,709.6599343,95.38104449
725.4363277,97.00580271,,724.273537,97.00580271,,724.8549323,97.00580271,,725.3969682,96.1934236,,725.3767262,95.77562863,,724.7784625,95.42746615
739.9678377,96.93617021,,738.8039225,96.91295938,,739.3864424,96.93617021,,739.3437092,96.05415861,,739.3167199,95.49709865,,740.4592686,95.07930368
755.0773694,96.79690522,,753.9100805,96.7040619,,754.4869776,96.61121857,,756.1996761,95.96131528,,754.4341235,95.52030948,,754.9930278,95.05609284
769.0319824,96.82011605,,770.1913994,96.75048356,,769.0342315,96.86653772,,768.9903738,95.96131528,,768.9577617,95.28820116,,770.1059332,94.98646035
783.5657415,96.79690522,,785.298682,96.56479691,,785.2818137,96.21663443,,784.6790518,95.77562863,,785.2402051,95.35783366,,784.6340695,94.84719536
799.2577932,96.68085106,,800.4172102,96.61121857,,799.2544195,96.61121857,,800.3789753,95.82205029,,800.3553596,95.33462282,,800.9007692,94.59187621
