Nh,Overall dB,Test dB,Train dB,Overall MSE mean,Test MSE mean,Train MSE mean,Overall MSE sem,Test MSE sem,Train MSE sem,Avg. R Squared (test) mean,Avg. R Squared (training) mean,Avg. R Squared (test) sem,Avg. R Squared (training) sem,Avg. Train Time mean,Avg. Train Time sem,Avg. no of iterations,No. of useless models (test),No. of useless models (training)
3,-2.227,-1.896,-2.482,0.005928360185059406,0.012694487064679292,0.0032970886207627807,0.003072743819280784,0.0068484947121995226,0.0024009977285642846,0.9834390611114054,0.996817909606726,0.009962865003166961,0.0019141011252411463,1.0492964100837707,0.011115887317907282,500.0,0,0
4,-2.254,-1.926,-2.504,0.005577888652018613,0.011861273985794047,0.003134349911105944,0.003030041662324707,0.006501422717566712,0.0023762658313895933,0.9836997243323338,0.9970154187986354,0.010851223287038417,0.001888606109789933,1.0141243076324462,0.01198257237417481,500.0,1,0
5,-2.296,-1.945,-2.584,0.0050530430329027405,0.011352000265006643,0.002603448553751224,0.002559491220293057,0.006132115292008671,0.0017863226637306901,0.9857401500594065,0.9974376745775733,0.009163896726084468,0.0014371341078578785,1.0414271473884582,0.012392281168525598,500.0,0,0
6,-2.285,-1.935,-2.572,0.0051845243669831785,0.011627250740009344,0.0026790196663618883,0.0026081698065799834,0.006230360868024965,0.0018055919392293857,0.9849343362670244,0.9973609576783699,0.00968725463341346,0.001452756309973663,1.1275268507003784,0.013209138545067275,500.0,0,0
7,-2.304,-1.95,-2.596,0.004963035061101603,0.011211178160391326,0.0025332016336000406,0.0024557919195720185,0.0060287412784255125,0.0016674620492924698,0.9863557054852913,0.9974550922814082,0.008521818404857035,0.0013529468809099434,1.1357641315460205,0.013360320304229508,500.0,0,0
8,-2.302,-1.946,-2.598,0.004987602209346209,0.011328807176431144,0.002521578055479844,0.0024732689541082766,0.006155534731963836,0.0016709706305494388,0.9866474730118959,0.9974644471764157,0.008237375569912758,0.0013565791569685993,1.1299286317825317,0.01461535855789152,500.0,0,0
9,-2.326,-1.958,-2.643,0.004718806155658188,0.011002776169010811,0.0022750400393543885,0.002255404134393873,0.005888446293365641,0.0014109189453583061,0.9871614331127131,0.9976701306134348,0.007457838969201147,0.0011560268923746773,1.1310403394699096,0.015050761616076349,500.0,0,0
10,-2.313,-1.95,-2.621,0.0048686985881326176,0.011231027689576347,0.0023944594931267233,0.002297969396641456,0.005903986929402175,0.0014597822726431105,0.9867816572887983,0.9975452639645498,0.0077942731785892614,0.0011977242736509667,1.2277456879615785,0.01577560896653091,500.0,0,0
11,-2.302,-1.943,-2.604,0.004983923571258993,0.01140104450504706,0.002488376541452521,0.0023244678846828584,0.0059427953269608775,0.0014912840171152728,0.9866255400187165,0.9974580313309852,0.007870622880932975,0.001221544259887689,1.1432961177825929,0.015998530005250807,500.0,0,0
12,-2.305,-1.951,-2.598,0.004954425699297078,0.011204784509569455,0.002523730606413377,0.0022638686218906133,0.005724971534559532,0.0014642026935676449,0.9865633383223026,0.9974159777451438,0.007867077614626631,0.001200401849886045,1.1575872087478638,0.016150062241748912,500.0,0,0
13,-2.291,-1.934,-2.59,0.00511350226675753,0.011653774206594336,0.002570063179043217,0.0022912625630451067,0.005878852942168373,0.001436687036988111,0.9859765824001154,0.9973521755608499,0.008100067255051248,0.0011836810620639508,1.1748852849006652,0.016745101195366402,500.0,0,0
14,-2.295,-1.938,-2.593,0.005070614258911889,0.011541594713018412,0.0025541218600926867,0.002205837879893864,0.005708382344375626,0.001368772841516825,0.986265860384882,0.9973543094016574,0.007648339856819253,0.0011326939399166802,1.1643650865554809,0.017976335561256166,500.0,0,0
15,-2.295,-1.941,-2.588,0.005069957972629319,0.011463573772792612,0.0025835518281213687,0.0021935145031612,0.005647064554252809,0.0013671181709073038,0.9862806763993635,0.997316636971937,0.007655047139467443,0.0011332094231883403,1.1805379605293274,0.01799148499250688,500.0,0,0
16,-2.3,-1.943,-2.596,0.005016001739527587,0.011402715047288698,0.002532279897620489,0.0021138130024616823,0.005546044328685851,0.0012777757572407797,0.9865554626804311,0.9973493058748256,0.007242171602838511,0.0010668500761584748,1.1884375643730163,0.016753560793999697,500.0,0,0
17,-2.299,-1.944,-2.593,0.0050233536247092795,0.011381416838262716,0.00255077348610516,0.0021034108220281023,0.00553104498617559,0.001267295356125854,0.9865779916098154,0.9973274137926054,0.007191016644060832,0.0010593253290278742,1.1183684301376342,0.01968230322316856,500.0,0,0
18,-2.3,-1.946,-2.592,0.00501403606673351,0.011334636747025527,0.00255602469106439,0.002091042624494406,0.005501731094593784,0.0012583303283021587,0.9866309924115316,0.997316114109329,0.007135723485320243,0.001052775765096802,1.0926277589797975,0.017087669164080003,500.0,0,0
19,-2.32,-1.959,-2.624,0.004786678453740547,0.010987241590875973,0.002375348344854547,0.0019455270604696357,0.0053288591108312825,0.0010937964756429685,0.9874268148882739,0.9974647432297007,0.006226152176307594,0.0009296439308499347,1.104580681324005,0.017687394122547877,500.0,0,0
