features,Overall dB,Test dB,Train dB,Overall MSE mean,Test MSE mean,Train MSE mean,Overall MSE sem,Test MSE sem,Train MSE sem,Avg. R Squared (test) mean,Avg. R Squared (training) mean,Avg. R Squared (test) sem,Avg. R Squared (training) sem,Avg. Train Time mean,Avg. Train Time sem,Avg. no of iterations,No. of useless models (test),No. of useless models (training)
feature0,-8.416,-6.012,-9.686,0.1440276847231173,0.25052207225986334,0.10750567598568922,0.0575305362697705,0.022854922524900526,0.08330180964281475,0.6843059556259118,0.9024205701019345,0.18767329298435997,0.05816716014344997,1.9385184049606323,0.8553208112716674,500.0,0,0
feature1,-17.542,-13.688,-21.066,0.017610809259517968,0.04277795924123871,0.007823584266626566,0.0031713023414815674,0.02993874836733907,0.007238260001907461,0.9539562253104346,0.9895492843235416,0.011624854844429156,0.009047736135902039,2.0242382287979126,0.9447990655899047,500.0,0,0
feature13_4,-7.657,-4.2,-10.442,0.17150079230670426,0.3802183106812349,0.09033286849438679,0.018147608210117794,0.14384041182226204,0.08114294933382107,0.44408374888046453,0.9196740273833243,0.340483084005815,0.053552979341529805,1.9809633493423462,0.8973616361618042,500.0,0,0
feature30,-6.746,-3.328,-9.465,0.21156658291981317,0.4647485214291352,0.11310694016618797,0.02765732001508535,0.14784366666201748,0.09590770372284751,0.13649514039118404,0.8911331491007236,0.6154474984119275,0.052627108958638646,2.1181375980377197,1.005460977554321,500.0,1,0
