features,Overall dB,Test dB,Train dB,Overall MSE mean,Test MSE mean,Train MSE mean,Overall MSE sem,Test MSE sem,Train MSE sem,Avg. R Squared (test) mean,Avg. R Squared (training) mean,Avg. R Squared (test) sem,Avg. R Squared (training) sem,Avg. Train Time mean,Avg. Train Time sem,Avg. no of iterations,No. of useless models (test),No. of useless models (training)
feature0,-1.746,-1.489,-1.927,0.017940489877412216,0.03246460718053086,0.011825072065572791,0.0017142269107412369,0.003953030544333372,0.0011823228753342736,0.9582374942300547,0.9877973304187883,0.00702347052795399,0.0012096955411309818,2.807981433868408,0.15456514483268705,500.0,0,0
feature1,-1.586,-1.36,-1.733,0.025967731074905437,0.0436792087000825,0.018510266811672997,0.0015196273938146798,0.0038195197232635683,0.0008554283565780602,0.9459633611763597,0.9809516873688863,0.006837356977308541,0.0008207854171408185,2.7704232215881346,0.12527724524241793,500.0,0,0
feature2_5,-1.175,-0.974,-1.298,0.06685022788840382,0.10605322094792805,0.050343704494919955,0.0012225938021589772,0.006867024385919807,0.0016641329894348078,0.8794545657795393,0.9501125929615406,0.00656236573702777,0.001175826328272063,2.841773841381073,0.15188867815525026,500.0,0,0
feature6,-1.854,-1.603,-2.026,0.014010892473647805,0.024941582682651633,0.009408496596172506,0.0007516806821672758,0.002325105956843623,0.0003992995106332045,0.9680027509390172,0.9902819693708992,0.0035810900796982145,0.0003789318552784573,2.80514075756073,0.12854883550774915,500.0,0,0
feature30,-1.993,-1.793,-2.115,0.010168058856126901,0.01609569165508783,0.007672213467090723,0.0003298468921559756,0.0006286475711826283,0.0003254723455403758,0.979327683431275,0.9920216149492974,0.00174389545462324,0.00029236428895162037,2.794141263961792,0.13648649388139916,500.0,0,0
