optimizer,Overall dB,Test dB,Train dB,Overall MSE mean,Test MSE mean,Train MSE mean,Overall MSE sem,Test MSE sem,Train MSE sem,Avg. R Squared (test) mean,Avg. R Squared (training) mean,Avg. R Squared (test) sem,Avg. R Squared (training) sem,Avg. Train Time mean,Avg. Train Time sem,Avg. no of iterations,No. of useless models (test),No. of useless models (training)
SGD,-1.502,-1.358,-1.58,0.0314883076772285,0.043856413306235534,0.026280684254488706,0.003016049247018703,0.004915617028898667,0.0025621834929086804,0.9404423709218029,0.972712163554148,0.011199027473533312,0.002581120453723087,2.4629843759536745,0.11405823329591833,500.0,1,0
RMSprop,-1.689,-1.408,-1.898,0.020475719119595538,0.03905080773684574,0.012654629175490192,0.0011104922907581925,0.0023334462189355575,0.0008699322428151642,0.9468290630599284,0.9868678333433061,0.006382531907233498,0.0008196186773577618,2.4656972599029543,0.11125986803675114,500.0,0,0
Adagrad,-1.375,-1.282,-1.421,0.042178472503526854,0.052273927995034664,0.037927754401839334,0.003451203364407082,0.0048550847912782235,0.0033095550924868095,0.9286346910292782,0.9603986414467583,0.011489272286530327,0.003567470711922223,2.472434525489807,0.11373593876049255,500.0,0,0
Adadelta,-1.668,-1.387,-1.877,0.021502552846761672,0.04105561414655653,0.013269684931058569,0.0010307014426770445,0.002340450751630683,0.0008642254001951089,0.9439973838516421,0.9861704573414236,0.006367533606458396,0.000854502748031708,2.585052881240845,0.1176417507598129,500.0,0,0
Adam,-1.577,-1.304,-1.776,0.02648954404176378,0.0496363897883064,0.016743503727430036,0.0027497182241084652,0.00452831987079051,0.0023954203085845066,0.9328930294967732,0.9825737114414658,0.010423448541883876,0.0024188101240540743,2.574129762649536,0.11635497935476846,500.0,0,0
Adamax,-1.616,-1.387,-1.767,0.024190179004260067,0.041025864234293385,0.017101469433719728,0.0021460705197844385,0.0035812362335792243,0.0018574381569126906,0.9458379189068122,0.9821512321351077,0.008162693133059227,0.0018904965368675356,2.586856620311737,0.12002388151116616,500.0,0,0
Nadam,-1.6,-1.238,-1.944,0.025114431091912207,0.057753215336577186,0.011371785094158522,0.0024781863575615683,0.007252059106169002,0.0012522341734897229,0.9168751641412928,0.9882529230076199,0.017088046623184628,0.0012182090982739552,2.701646740436554,0.1290365296779804,500.0,1,0
