features,Overall dB,Test dB,Train dB,Overall MSE mean,Test MSE mean,Train MSE mean,Overall MSE sem,Test MSE sem,Train MSE sem,Avg. R Squared (test) mean,Avg. R Squared (training) mean,Avg. R Squared (test) sem,Avg. R Squared (training) sem,Avg. Train Time mean,Avg. Train Time sem,Avg. no of iterations,No. of useless models (test),No. of useless models (training)
feature0,-17.092,-14.148,-19.37,0.019534516991081326,0.0384740816819903,0.011559963437014393,0.0024586399552063132,0.006606012091620393,0.0013446156734541344,0.9496703865210168,0.9881039461560864,0.010555318074215222,0.0013644584785740955,1.051706919670105,0.014137048804799084,500.0,0,0
feature1,-15.856,-13.597,-17.326,0.025967731074905437,0.0436792087000825,0.018510266811672997,0.0015196273938146798,0.0038195197232635683,0.0008554283565780602,0.9459633611763597,0.9809516873688863,0.006837356977308541,0.0008207854171408185,1.0622845220565795,0.014706546012333552,500.0,0,0
feature2_5,-11.746,-9.738,-12.98,0.06689859774520455,0.10621509402745831,0.050344283521097724,0.001230397104184869,0.006894682944868602,0.0016640791738680538,0.879327838654826,0.9501119771744048,0.006576617248420606,0.0011757298447873197,1.0703107810020447,0.014588876425238068,500.0,0,0
feature6,-18.536,-16.034,-20.264,0.014007923082675476,0.024925420393935856,0.00941108210951321,0.0007523587990394862,0.002326855732455606,0.0003992026447256419,0.9679825428002927,0.9902792907961949,0.0035806995651844627,0.0003788335652586578,1.0789480566978455,0.012083004653019426,500.0,0,0
feature13_4,-16.888,-14.084,-18.978,0.020475719119595538,0.03905080773684574,0.012654629175490192,0.0011104922907581925,0.0023334462189355575,0.0008699322428151642,0.9468290630599284,0.9868678333433061,0.006382531907233498,0.0008196186773577618,1.0693370056152345,0.014659272302077553,500.0,0,0
feature30,-19.928,-17.933,-21.151,0.010168058856126901,0.01609569165508783,0.007672213467090723,0.0003298468921559756,0.0006286475711826283,0.0003254723455403758,0.979327683431275,0.9920216149492974,0.00174389545462324,0.00029236428895162037,1.0748939728736877,0.015047406528024377,500.0,0,0
